source,track,archival_status,is_in_core_corpus,replaced_by_doi,matched_archival_id,matched_archival_doi,openalex_id,title,doi,type,publication_date,publication_year,is_watchlist_candidate,watchlist_tag,resilience_paradigm,cloud_context,cited_by_count,best_pdf_url
OpenAlex Core Stream,core,archival,True,,,,https://openalex.org/W2172053398,Dependability Modeling and Analysis for the Virtual Data Center of Cloud Computing,10.1109/hpcc.2011.111,article,2011-09-01,2011,False,,Analytics,GeneralCloud,61,
OpenAlex Core Stream,core,archival,True,,,,https://openalex.org/W3031791786,Model-Based Analysis of Microservice Resiliency Patterns,10.1109/icsa47634.2020.00019,article,2020-03-01,2020,False,,Formal,Unknown,41,
OpenAlex Core Stream,core,archival,True,,,,https://openalex.org/W4297273454,Deep reinforcement learning for fault-tolerant workflow scheduling in cloud environment,10.1007/s10489-022-03963-w,article,2022-08-13,2022,False,,ML,GeneralCloud,33,
OpenAlex Core Stream,core,archival,True,,,,https://openalex.org/W1982041753,"Analyzing, modeling and evaluating dynamic adaptive fault tolerance strategies in cloud computing environments",10.1007/s11227-013-0898-7,article,2013-03-20,2013,False,,Analytics,GeneralCloud,61,
OpenAlex Core Stream,core,archival,True,,,,https://openalex.org/W3035242936,CloudStrike: Chaos Engineering for Security and Resiliency in Cloud Infrastructure,10.1109/access.2020.3007338,article,2020-01-01,2020,False,,Chaos,GeneralCloud,71,https://ieeexplore.ieee.org/ielx7/6287639/8948470/09133399.pdf
OpenAlex Core Stream,core,archival,True,,,,https://openalex.org/W2051655261,A Modeling Approach for Cloud Infrastructure Planning Considering Dependability and Cost Requirements,10.1109/tsmc.2014.2358642,article,2014-09-30,2014,False,,Analytics,GeneralCloud,39,
OpenAlex Core Stream,core,archival,True,,,,https://openalex.org/W2809963016,"Fog Computing: Survey of Trends, Architectures, Requirements, and Research Directions",10.1109/access.2018.2866491,article,2018-01-01,2018,False,,Simulation,Edge,551,https://arxiv.org/pdf/1807.00976
OpenAlex Core Stream,core,archival,True,,,,https://openalex.org/W4410008759,"Designing Cloud-Native AI Infrastructure: A Framework for High-Performance, Fault-Tolerant, and Compliant Machine Learning Pipelines",10.53555/jrtdd.v6i10s(2).3566,article,2023-01-01,2023,False,,ML,Unknown,17,https://jrtdd.com/index.php/journal/article/download/3566/2687
OpenAlex Core Stream,core,archival,True,,,,https://openalex.org/W3045750636,A multi-objective optimization method of initial virtual machine fault-tolerant placement for star topological data centers of cloud systems,10.26599/tst.2019.9010044,article,2020-06-19,2020,False,,Chaos,GeneralCloud,76,https://ieeexplore.ieee.org/ielx7/5971803/9121648/09121659.pdf
OpenAlex Core Stream,core,archival,True,,,,https://openalex.org/W2104171511,On the Performance Variability of Production Cloud Services,10.1109/ccgrid.2011.22,article,2011-05-01,2011,False,,Simulation,GeneralCloud,327,https://research.tue.nl/nl/publications/f94441fb-5274-4041-8ac7-14cddc863db2
OpenAlex Core Stream,core,archival,True,,,,https://openalex.org/W3017117395,Adaptive fault-tolerant model for improving cloud computing performance using artificial neural network,10.1016/j.procs.2020.03.106,article,2020-01-01,2020,False,,ML,GeneralCloud,31,
OpenAlex Core Stream,core,archival,True,,,,https://openalex.org/W2014230935,"An Integrated Modeling Approach to Evaluate and Optimize Data Center Sustainability, Dependability and Cost",10.3390/en7010238,article,2014-01-08,2014,False,,Analytics,GeneralCloud,46,https://www.mdpi.com/1996-1073/7/1/238/pdf?version=1426589664
OpenAlex Core Stream,core,archival,True,,,,https://openalex.org/W2054722516,Cloudsim: simulator for cloud computing infrastructure and modeling,10.1016/j.proeng.2012.06.412,article,2012-01-01,2012,False,,Simulation,GeneralCloud,129,
OpenAlex Core Stream,core,archival,True,,,,https://openalex.org/W2756347236,Modeling and Analyzing Dynamic Fault-Tolerant Strategy for Deadline Constrained Task Scheduling in Cloud Computing,10.1109/tsmc.2017.2747146,article,2017-09-13,2017,False,,Analytics,GeneralCloud,23,
OpenAlex Core Stream,core,archival,True,,,,https://openalex.org/W1993857386,An availability model for eucalyptus platform: An analysis of warm-standy replication mechanism,10.1109/icsmc.2012.6377976,article,2012-10-01,2012,False,,Analytics,GeneralCloud,74,
OpenAlex Core Stream,core,archival,True,,,,https://openalex.org/W4304891668,Machine learning model design for high performance cloud computing &amp; load balancing resiliency: An innovative approach,10.1016/j.jksuci.2022.10.001,article,2022-10-13,2022,False,,ML,GeneralCloud,28,
OpenAlex Core Stream,core,archival,True,,,,https://openalex.org/W4389313142,Fault Tolerance of Cloud Infrastructure with Machine Learning,10.2478/cait-2023-0034,article,2023-11-01,2023,False,,ML,GeneralCloud,13,https://sciendo.com/pdf/10.2478/cait-2023-0034
OpenAlex Core Stream,core,archival,True,,,,https://openalex.org/W4392981713,Neural Networks-Based Predictive Models for Self-Healing in Cloud Computing Environments,10.1109/iitcee59897.2024.10467499,article,2024-01-24,2024,False,,ML,GeneralCloud,10,
OpenAlex Core Stream,core,archival,True,,,,https://openalex.org/W4388328544,A Novel Fault-Tolerant Aware Task Scheduler Using Deep Reinforcement Learning in Cloud Computing,10.3390/app132112015,article,2023-11-03,2023,False,,ML,GeneralCloud,15,https://www.mdpi.com/2076-3417/13/21/12015/pdf?version=1699258853
